objectid,st_name,type,globalid,Shape__Length
1,N Pearl St,Avenue,f274b84f-f3c1-4ff9-b9ee-c991ede87ab1,16196.0180129397
2,N Westgate Blvd,Mainstreet,5eff2559-6024-4ffe-b816-2464a796882b,1358.79161535098
3,N 21st St,Mainstreet,3a89cb5c-887e-4bf4-8c76-6f28ee22bf50,686.599407435561
4,N 26th St,Mainstreet,683aeceb-c668-4f9b-bc5a-56cd462f17eb,9078.85603877167
5,N Union Ave,Mainstreet,a0f8fb4a-b520-4c2a-abe2-464b748baec0,5784.50685680322
6,N Proctor St,Mainstreet,6fe3ec57-c081-4275-93c3-400797cb72d6,1728.44559113111
7,N 21st St,Mainstreet,d314a1fa-3dc8-423a-9e7a-d316dde6a918,3959.20954983904
8,N I St,Mainstreet,07b76538-3602-49a0-a266-afd9aa82c561,4683.37766527661
9,S 6th Ave,Mainstreet,46299dda-b404-4001-b6b1-f14c26ffe93d,2183.14345630409
10,6th Ave,Mainstreet,1552028c-4735-44ca-b6dc-2a6a01018c3a,18434.9771886135
11,S Mildred St,Avenue,353f3222-c402-4484-9757-ef2f843d498a,4653.71663719848
12,S 12th St,Mainstreet,ea060692-1931-4bd7-a9d7-fa58652495f0,20144.524126484
13,Earnest S Brazill St,Mainstreet,892696c8-2566-4076-b2fe-f7a4bb33be3c,1975.24015455033
14,S 19th St,Avenue,f2036d9a-8930-4de5-8f46-3f8f5e5fec34,26685.2925687673
15,S Union Ave,Avenue,b37de442-e3a6-4347-8c90-73e833d33b3c,7709.98793865189
16,Puyallup Ave,Avenue,84ea929e-34a2-43d3-897b-c20e53119666,1524.43458023713
17,E 29th St,Mainstreet,60e325bd-0fe0-4648-835b-19cd752bbb4d,2436.27145974857
18,E 32nd St,Mainstreet,706b5b49-0557-4686-9d96-2ea25dc5c6e1,3815.89930340783
19,Portland Ave E,Avenue,d3a94d2b-612c-4a21-9e2a-9fa62b478375,18793.2587000607
20,E McKinley Way,Mainstreet,c5d31e8c-6b73-4b5a-ad0c-c0875d01e7e6,1915.74459729753
21,McKinley Ave E,Mainstreet,690e97b6-ec0b-4a99-853c-98a3de019e84,14868.046250153
22,E 38th St,Mainstreet,178df5ec-4431-4d30-9569-852ff2972852,4415.12124057879
23,S 38th St,Mainstreet,d042e36e-237a-476c-9859-6455ac06b658,9397.31759466171
24,S 38th St,Avenue,bb586f88-70ff-4f72-81ca-997e13d83f8f,5079.17179855418
25,S Steele St,Avenue,a9c9d740-d855-42a6-b874-436fa79457ea,3953.19928441193
26,S 47th St,Avenue,554a85e9-4c7c-47d2-be4d-c56f636bc4da,3386.61006841485
27,S 48th St,Avenue,408aceba-b0da-4b4f-8b8a-36862d808e7d,2001.65384141266
28,S G St,Mainstreet,272a0c70-54bf-4f13-afcf-67c9b28aed2f,3453.92363242655
29,S Yakima Ave,Mainstreet,3031f8cd-cdf9-41e8-844b-f2bd2a8a0ad1,19332.581986518
30,S Tacoma Way,Avenue,e4f8a711-617f-489d-918b-7c79e03ccf60,25565.0605957975
31,E 72nd St,Avenue,0ad79d0b-05f9-4edb-8a4c-8ffeea3f6955,3250.78528479856
32,72nd St E,Avenue,0d142828-ca9a-4961-8124-d934a1932303,6582.62081260023
33,S 72nd St,Avenue,a747aabb-e2ed-4ce5-a3f7-97b05fb4fdf8,12522.2663253088
34,Pacific Ave S,Avenue,0558814b-c582-4761-a86b-160fdc2daef1,24384.0459582102
35,E 56th St,Mainstreet,062b7563-ddf9-414d-bb8a-06606f422232,8761.9856976027
36,S 56th St,Mainstreet,56ad6c03-8845-47ca-adc9-898e182dd403,15554.0253480624
37,S Union Ave,Mainstreet,57de24a1-fdd1-4dc7-9823-d48ffb57871a,4583.87135457712
38,S Pearl St,Avenue,43726460-c62f-4997-bc5d-e7dbb9d5ed7f,5323.82536180874
39,Vashon Ferry Lanes,Avenue,f790aca5-2c45-43b2-9d51-99b70538c360,1727.66092635762
