"Date
Time",,"Report
Number",County,,City,,,,Agency,,"Weather
Lighting",,Roadway,"Contributing
Circumstances",,"Injury
Severity",Citation,,Sobriety,,
"11/1/2022
1:27:00 AM",,EE44072,Pierce,,Tacoma,,,,Municipal/City Police,,"Clear
Dark-Street Lights On",,"Two Way - Divided, no Barrier
Straight & Grade
Blacktop
Wet",None,,,Unknown,,,,
"11/1/2022
6:06:00 AM",,EC99369,Pierce,,Tacoma,,,,Municipal/City Police,,"Raining
Dark-Street Lights On",,"Other
Straight & Level
Blacktop
Dry",Operating Recklessly or Aggressively,,,Unknown,,,,
"11/1/2022
6:06:00 AM",,EC99369,Pierce,,Tacoma,,,,Municipal/City Police,,"Raining
Dark-Street Lights On",,"Other
Straight & Level
Dry",Other Contributing Circ Not Listed,,,Unknown,,,,
"11/1/2022
7:10:00 AM",,EC99492,Pierce,,Tacoma,,,,Municipal/City Police,,"Overcast
Dark - Unknown Lighting",,"Two Way - Undivided
Straight & Grade
Blacktop
Wet",None,,,Unknown,,,,
"11/1/2022
7:10:00 AM",,EC99492,Pierce,,Tacoma,,,,Municipal/City Police,,"Overcast
Dark - Unknown Lighting",,"Two Way - Undivided
Straight & Grade
Blacktop
Wet",Improper Backing,,,Unknown,,,,
"11/1/2022
8:10:00 AM",,EC99148,Pierce,,Tacoma,,,,County Sheriff,,"Overcast
Daylight",,"Two Way - Undivided
Straight & Level
Blacktop
Dry",Did Not Grant RW to Vehicle,,,Unknown,,,,
"11/1/2022
8:10:00 AM",,EC99148,Pierce,,Tacoma,,,,County Sheriff,,"Overcast
Daylight",,"Two Way - Undivided
Straight & Level
Blacktop
Dry",None,,,Unknown,,,,
"11/1/2022
8:59:00 AM",,EC99493,Pierce,,Tacoma,,,,Municipal/City Police,,"Overcast
Daylight",,"Driveway
Straight & Level
Blacktop
Dry",Other Contributing Circ Not Listed,,,Unknown,,,,
"11/1/2022
11:58:00 AM",,EC99292,Pierce,,Tacoma,,,,Municipal/City Police,,"Partly Cloudy
Daylight",,"Two Way - Undivided
Straight & Level
Blacktop
Dry",None,,,Yes,,,,
"11/1/2022
1:19:00 PM",,EC99588,Pierce,,Tacoma,,,,County Sheriff,,"Raining
Daylight",,"Two Way - Divided, with Barrier
Straight & Grade
Blacktop
Wet",None,,,Unknown,,,,
"11/1/2022
1:19:00 PM",,EC99588,Pierce,,Tacoma,,,,County Sheriff,,"Raining
Daylight",,"Two Way - Divided, with Barrier
Straight & Grade
Blacktop
Wet",Improper U-Turn,,,Unknown,,,,
"11/1/2022
1:50:00 PM",,EC99427,Pierce,,Tacoma,,,,County Sheriff,,"Clear
Daylight",,"Two Way - Undivided
Straight & Level
Blacktop
Dry",Disregard Traffic Sign and Signals,,,Yes,,,,
"11/1/2022
1:50:00 PM",,EC99427,Pierce,,Tacoma,,,,County Sheriff,,"Clear
Daylight",,"Two Way - Undivided
Straight & Level
Blacktop
Dry",None,,,Unknown,,,,
"11/1/2022
2:30:00 PM",,EC99296,Pierce,,Tacoma,,,,Municipal/City Police,,"Partly Cloudy
Daylight",,"Other
Straight & Level
Blacktop
Dry","Unknown Distraction, Distractions Outside Vehicle",,,Unknown,,,,
"11/1/2022
2:30:00 PM",,EC99296,Pierce,,Tacoma,,,,Municipal/City Police,,"Partly Cloudy
Daylight",,"Other
Straight & Level
Dry",Other Contributing Circ Not Listed,,,Unknown,,,,
"11/1/2022
2:39:00 PM",,EC99495,Pierce,,Tacoma,,,,Municipal/City Police,,"Clear
Daylight",,"Center-Two Way Left Turn Lane
Straight & Level
Blacktop
Dry",None,,,Unknown,,,,
"11/1/2022
2:39:00 PM",,EC99495,Pierce,,Tacoma,,,,Municipal/City Police,,"Clear
Daylight",,"Center-Two Way Left Turn Lane
Straight & Level
Blacktop
Dry",Did Not Grant RW to Vehicle,,,Unknown,,,,
"11/1/2022
2:40:00 PM",,EC99489,Pierce,,Tacoma,,,,Municipal/City Police,,"Clear
Daylight",,"Two Way - Undivided
Straight & Level
Blacktop
Dry",None,,,Unknown,,,,
"11/1/2022
2:40:00 PM",,EC99489,Pierce,,Tacoma,,,,Municipal/City Police,,"Clear
Daylight",,"Two Way - Undivided
Straight & Level
Blacktop
Dry",Improper Turn/Merge,,,Unknown,,,,
"11/1/2022
5:33:00 PM",,ED04473,Pierce,,Tacoma,,,,State Patrol,,"Clear
Daylight",,"Two Way - Divided, with Barrier
Straight & Level
Blacktop
Dry",None,,,Unknown,,,,
"11/1/2022
5:33:00 PM",,ED04473,Pierce,,Tacoma,,,,State Patrol,,"Clear
Daylight",,"Two Way - Divided, with Barrier
Straight & Level
Blacktop
Dry",Follow Too Closely,,,Yes,,,,
"11/1/2022
6:45:00 PM",,EC99448,Pierce,,Tacoma,,,,State Patrol,,"Overcast
Dark-Street Lights On",,"Two Way - Divided, with Barrier
Straight & Level
Blacktop
Dry",None,,,Unknown,,,,
"11/1/2022
6:45:00 PM",,EC99448,Pierce,,Tacoma,,,,State Patrol,,"Overcast
Dark-Street Lights On",,"Two Way - Divided, with Barrier
Straight & Level
Blacktop
Dry",Distractions Outside Vehicle,,,Yes,,,,
"11/1/2022
6:53:00 PM",,EC99511,Pierce,,Tacoma,,,,County Sheriff,,"Overcast
Dark-Street Lights On",,"Two Way - Undivided
Straight & Level
Blacktop
Dry",None,,,Unknown,,,,
"11/1/2022
6:53:00 PM",,EC99511,Pierce,,Tacoma,,,,County Sheriff,,"Overcast
Dark-Street Lights On",,"Two Way - Undivided
Straight & Level
Blacktop
Dry",Did Not Grant RW to Vehicle,,,Unknown,,,,
"11/1/2022
9:44:00 PM",,EC99395,Pierce,,Tacoma,,,,Municipal/City Police,,"Raining
Dark-Street Lights On",,"Two Way - Undivided
Straight & Grade
Blacktop
Wet",Unknown Distraction,,,Unknown,,,,
"11/1/2022
10:00:00 PM",,EC99394,Pierce,,Tacoma,,,,Municipal/City Police,,"Raining
Dark-Street Lights On",,"Two Way - Undivided
Straight & Grade
Blacktop
Wet",None,,,Unknown,,,,
"11/1/2022
10:00:00 PM",,EC99394,Pierce,,Tacoma,,,,Municipal/City Police,,"Raining
Dark-Street Lights On",,"Two Way - Undivided
Straight & Grade
Blacktop
Wet",Operating Handheld Cell Phone,,,Unknown,,,,
"11/1/2022
11:05:00 PM",,EC99453,Pierce,,Tacoma,,,,Municipal/City Police,,"Raining
Dark-Street Lights On",,"Two Way - Undivided
Straight & Level
Blacktop
Dry",Under Influence of Drugs,,,Unknown,,,,
"11/2/2022
12:36:00 AM",,ED00264,Pierce,,Tacoma,,,,County Sheriff,,"Raining
Dark-Street Lights On",,"Two Way - Undivided
Straight & Level
Blacktop
Dry","Disregard Traffic Sign and Signals, Improper Passing, Distractions Outside Vehicle",,,Yes,,,,
"11/2/2022
12:36:00 AM",,ED00264,Pierce,,Tacoma,,,,County Sheriff,,"Raining
Dark-Street Lights On",,"Two Way - Undivided
Straight & Level
Blacktop
Dry",Distractions Outside Vehicle,,,Unknown,,,,
"11/2/2022
12:36:00 AM",,ED00264,Pierce,,Tacoma,,,,County Sheriff,,"Raining
Dark-Street Lights On",,"Two Way - Undivided
Straight & Level
Blacktop
Dry",None,,,Yes,,,,
"11/2/2022
5:41:00 AM",,EC99585,Pierce,,Tacoma,,,,Municipal/City Police,,"Partly Cloudy
Dark-Street Lights On",,"Two Way - Undivided
Straight & Level
Blacktop
Dry",None,,,Unknown,,,,
"11/2/2022
5:41:00 AM",,EC99585,Pierce,,Tacoma,,,,Municipal/City Police,,"Partly Cloudy
Dark-Street Lights On",,"Two Way - Undivided
Straight & Level
Blacktop
Dry",Improper Turn/Merge,,,Unknown,,,,
"11/2/2022
6:46:00 AM",,ED05046,Pierce,,Tacoma,,,,State Patrol,,"Clear
Dark-Street Lights On",,"Two Way - Divided, no Barrier
Straight & Level
Blacktop
Dry",Failing to Signal,,,Yes,,,,
"11/2/2022
6:46:00 AM",,ED05046,Pierce,,Tacoma,,,,State Patrol,,"Clear
Dark-Street Lights On",,"Two Way - Divided, no Barrier
Straight & Level
Blacktop
Dry",None,,,Unknown,,,,
"11/2/2022
7:35:00 AM",,EC99508,Pierce,,Tacoma,,,,Municipal/City Police,,"Overcast
Daylight",,"Center-Two Way Left Turn Lane
Straight & Grade
Blacktop
Wet",Did Not Grant RW to Vehicle,,,Yes,,,,
"11/2/2022
7:35:00 AM",,ED00371,Pierce,,Tacoma,,,,Municipal/City Police,,"Clear
Daylight",,"Two Way - Undivided
Straight & Level
Blacktop
Dry",Follow Too Closely,,,Yes,,,,
"11/2/2022
7:35:00 AM",,ED00371,Pierce,,Tacoma,,,,Municipal/City Police,,"Clear
Daylight",,"Two Way - Undivided
Straight & Level
Blacktop
Dry",None,,,Unknown,,,,
