STATION,NAME,DATE,PRCP,SNOW,SNWD,TMAX,TMIN,WT01,WT02,WT03,WT04,WT05,WT06,WT08
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",11/1/2020,0,0,0,61,42,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",11/2/2020,0,0,0,65,41,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",11/3/2020,0.9,0,0,58,46,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",11/4/2020,0.18,0,0,66,58,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",11/5/2020,0.32,0,0,60,46,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",11/6/2020,0,0,0,51,39,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",11/7/2020,0.01,0,0,44,36,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",11/8/2020,0,0,0,49,33,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",11/9/2020,0.06,0,0,43,31,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",11/10/2020,0.04,0,0,46,38,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",11/11/2020,0,0,0,46,37,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",11/12/2020,0.38,0,0,49,40,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",11/13/2020,0.49,0,0,52,43,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",11/14/2020,0.56,0,0,48,41,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",11/15/2020,0.2,0,0,53,46,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",11/16/2020,0.49,0,0,51,46,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",11/17/2020,0.53,0,0,63,47,1,,1,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",11/18/2020,0.39,0,0,49,44,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",11/19/2020,0.16,0,0,48,42,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",11/20/2020,0.01,0,0,50,43,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",11/21/2020,0.02,0,0,54,41,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",11/22/2020,0.11,0,0,45,36,1,1,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",11/23/2020,0.12,0,0,47,42,1,,,,,,1
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",11/24/2020,0.13,0,0,52,43,1,,,,,,1
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",11/25/2020,0.03,0,0,48,43,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",11/26/2020,0,0,0,50,43,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",11/27/2020,0,0,0,51,44,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",11/28/2020,0.02,0,0,48,36,1,1,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",11/29/2020,0,0,0,45,31,1,1,,,,,
